,Gas Longitude,Gas Latitude,Gas Stations
333,-105.34357738533606,39.65005329536388,fuel
334,-105.19115948535728,39.65363729536363,fuel
335,-105.22275528535289,39.60200209536736,fuel
336,-105.12947178536587,39.581426395368865,fuel
337,-105.12649588536627,39.5811324953689,fuel
338,-105.14805448536328,39.61012909536677,fuel
339,-105.12901988536592,39.68232339536158,fuel
340,-105.15122038536283,39.66731909536265,fuel
341,-105.15517188536228,39.68215499536157,fuel
342,-105.20495958535534,39.70224519536015,fuel
343,-105.1184206853674,39.682521595361564,fuel
344,-105.14465138536374,39.698221895360405,fuel
345,-105.1335740853653,39.71201769535943,fuel
346,-105.12963128536583,39.696669495360524,fuel
347,-105.12907638536592,39.69674549536051,fuel
348,-105.13833948536463,39.70339259536003,fuel
349,-105.13286758536539,39.71209619535943,fuel
350,-104.86337788540291,39.379735095383495,fuel
351,-105.07380538537362,39.48500759537585,fuel
352,-104.8633805854029,39.38006889538348,fuel
353,-104.85961608540342,39.378838295383574,fuel
354,-104.85968038540341,39.3798707953835,fuel
355,-104.86269998540298,39.380607095383446,fuel
356,-104.86530348540263,39.41361709538105,fuel
357,-104.88193798540031,39.40269299538184,fuel
358,-104.8655314854026,39.41258939538113,fuel
359,-104.9027013853974,39.42676999538007,fuel
360,-104.8792345854007,39.422858795380364,fuel
361,-104.88274258540021,39.53676429537209,fuel
362,-104.79304788541269,39.54621369537141,fuel
363,-104.84896858540492,39.53567969537217,fuel
364,-105.10933878536868,39.564294595370086,fuel
365,-105.11091908536844,39.56457349537009,fuel
366,-105.08207908537246,39.565784095369985,fuel
367,-105.10873888536875,39.56996949536968,fuel
368,-105.08184378537248,39.56690099536991,fuel
369,-105.10028028536993,39.580399495368916,fuel
370,-105.05268628537654,39.58039279536891,fuel
371,-105.07231168537382,39.59150459536813,fuel
372,-105.10930858536867,39.610796795366724,fuel
373,-105.1083255853688,39.597751495367675,fuel
374,-105.11068328536848,39.624808195365716,fuel
375,-105.09187348537111,39.61656599536629,fuel
376,-105.10822898536881,39.62454169536574,fuel
377,-105.08734908537171,39.63055699536531,fuel
378,-105.10942738536865,39.63362299536508,fuel
379,-105.10932028536867,39.63470589536501,fuel
380,-105.08689528537177,39.63835209536473,fuel
381,-105.03698768537873,39.609127595366836,fuel
382,-104.98803518538554,39.571423795369554,fuel
383,-105.03475478537905,39.62171179536595,fuel
384,-105.03463328537906,39.62229799536589,fuel
385,-104.99159448538505,39.57381789536942,fuel
386,-104.98808698538552,39.58033189536893,fuel
387,-104.9884685853855,39.61290089536657,fuel
388,-105.0257515853803,39.62444589536575,fuel
389,-105.02487638538042,39.63164379536521,fuel
390,-104.98812638538553,39.632971595365134,fuel
391,-104.98759258538561,39.633456995365094,fuel
392,-104.96034448538941,39.60950719536682,fuel
393,-105.10993848536857,39.65289319536366,fuel
394,-105.10768978536888,39.6553754953635,fuel
395,-105.11224528536826,39.66860389536255,fuel
